Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
26 Jan,Friday,105.06,Mission Rock,Food,Debit,Want
26 Jan,Friday,53,//:,Entertainment and Recreation,Debit,Want
26 Jan,Friday,10.92,uber,Travel,Debit,Need
26 Jan,Friday,61.61,target,Food,Credit,Need
27 Jan,Saturday,29.01,poke,Food,Credit,Want
28 Jan,Sunday,9.99,uber,Travel,Debit,Need
28 Jan,Sunday,14.45,corner store ,Travel,Credit,Want
30 Jan,Tuesday,59.90,skincare,Entertainment and Recreation,Debit,Want
2 Feb,Friday,21.97,Food,Food,Debit,Need
2 Feb,Friday,47.60,ubereats,Food,Debit,Need
2 Feb,Friday,30.03,doordash,Food,Debit,Need
3 Feb,Saturday,29.67,sephora,Entertainment and Recreation,Debit,Want
3 Feb,Saturday,10.10,foot long cookies,Food,Debit,Want
4 Feb,Saturday,1.50,vending machine,Food,Debit,Want